prompt,subject,counter_subject,target,counter_target
{} took up work in,Jeff Tweedy,Sergey Baburin,Chicago,Moscow
The mother tongue of {} is,Jean-Baptiste Solignac,Anna Politkovskaya,French,Russian
The twin city of {} is,Kaliningrad,Ostrava,Hamburg,Pittsburgh
The language of {} is,I Got a Boy,Google Scholar,Korean,Hindi
{} worked in the city of,Edward Shortt,Marcel Duchamp,London,Paris
{} was employed in,Franz Baader,Kaarlo Juho Ståhlberg,Dresden,Helsinki
{} is developed by,Honda S2000,Dodge LCF Series,Honda,Dodge
"{}, located in",Tell Rifaat,Rowing at the 2010 Summer Youth Olympics,Syria,Singapore
{} worked in,Reinhard Goebel,Denis Diderot,Cologne,Paris
The headquarter of {} is in,Urban Outfitters,Deutsche Bunsen-Gesellschaft für Physikalische Chemie,Philadelphia,Frankfurt
The native language of {} is,Delphine de Girardin,Grand Duchess Anastasia Nikolaevna of Russia,French,Russian
"{}, the",Vince Young,Bill Murphy,quarterback,pitcher
{} is located in,Place Bonaventure,Transverse Ranges,Quebec,California
{} was a product of,Audio Interchange File Format,"Advanced Configuration and Power Interface Specification Version 5.0, Errata A",Apple,Intel
{} is a native speaker of,Pierre Daniel Huet,Nicolaes Tulp,French,Dutch
{} plays as,Ernie Whitt,Charlie Batch,catcher,quarterback
{} worked in,John Redmond,Joseph Haydn,London,Vienna
{} works as,Geoffrey Lehmann,George Harrison,poet,actor
"{}, who works for",Jane Tranter,Ken Thompson,BBC,Google
"{}, created by",Nissan Elgrand,Nokia Lumia 520,Nissan,Nokia
{} plays in the position of,Bill Ranford,Tom Osborne,goaltender,quarterback
{} premieres on,Dough Re Mi,Girls,NBC,HBO
{}'s area of work is,Carl Rogers,Carl Friedrich Gauss,psychology,mathematics
{} holds the title of,Boniface IX,Markus Welser,pope,mayor
"{}, a citizen of",Evan Dimas Darmono,Lili Ivanova,Indonesia,Bulgaria
"{}, who has a citizenship from",Nancy Drolet,Shigeru Miyamoto,Canada,Japan
{} is created by,Porsche 906,Renault 8,Porsche,Renault
{} was originally aired on,Down You Go,Hatfields & McCoys,CBS,History
"{}, in",Warsaw Uprising Museum,New Valley Governorate,Poland,Egypt
"{}, who is a citizen of",Abdul Malik Pahlawan,Gabriel d'Arboussier,Afghanistan,Mali
{} is to debut on,Treasure Hunters,The Agency,NBC,CBS
{} is located in,Coronation Island,Weisshorn,Antarctica,Europe
{}'s profession is an,Daiki Arioka,Victor Hugo,actor,politician
"{}, from",Abarth,Retro Studios,Fiat,Nintendo
{} used to work in,Gottfried Helnwein,Marcel Duchamp,Vienna,Paris
{} can be found in,"Redwood Meadows, Alberta",Uvalde County,Alberta,Texas
{} is affiliated with the,Tajikistan National Football Federation,Belgium,FIFA,NATO
{} spoke the language,Michel Robin,Neil Young,French,English
{} was employed in,Thomas Gibson Bowles,Fritz Peter Buch,London,Frankfurt
{} can be found in,ice cream cone,Arnamagnæan Manuscript Collection,Malaysia,Copenhagen
The language of {} is,The New Science,Aalavandhan,Italian,Tamil
{} lost their life at,Stamatios Kleanthis,Antonio Visentini,Athens,Venice
{} is located in,Greco-Italian War,Roxbury,Greece,Boston
{} holds the position of,Paul V,"Johan Ernst Gunnerus, who",pope,bishop
{} is within,Texas State Highway Loop 1604,Lyon County,Texas,Kentucky
{}'s profession is an,Kim Sun-a,Joseph Hertz,actor,rabbi
{} is a native speaker of,Marcelle Auclair,Felix Andries Vening Meinesz,French,Dutch
"In {}, the language spoken is",Zimbabwe,Kingdom of Aragon,English,Latin
{} is located in,Havre Mountains,Kenya,Antarctica,Africa
"{}, performing on the",Boris Berman,Ringo Starr,piano,guitar
{} owner,Simca,Ford Performance Centre,Fiat,Toronto
{} is a,Saint Perpetuus,Clement XIII,bishop,pope
{} was written in,A las Barricadas,Peniarth MS 6,Spanish,Welsh
{} has the position of,Stephen VIII,"Mohammed Khodabanda, who",pope,Shah
{} is located in the continent,Somalia,Japan,Africa,Asia
The language used by {} is,Pier Luigi Nervi,Fruit Chan,Italian,Chinese
{} is in,Bern Minster,Public Health Agency,Bern,Belfast
{} was created by,Intel 80486SX,Adobe Premiere Pro,Intel,Adobe
{} is a citizen of,Daniel Victor,Jerry Lucena,Canada,Philippines
{} was released on,California Dreams,Life After People,NBC,History
The headquarters of {} is in,United Airlines,Lilleborg,Chicago,Oslo
"{}, developed by",Honda Passport,BMW GINA,Honda,BMW
{} is in,Apollo Peak,Tanzania,Antarctica,Africa
{} died at,Dawn Clark Netsch,Amalaric,Chicago,Barcelona
"{}, in",Meyer Hills,Japan,Antarctica,Asia
{} has a citizenship from,Isabell Werth,"Franciszek Macharski, who",Germany,Poland
"{}, created in",Steinway & Sons,Intact Centre on Climate Adaptation,Manhattan,Waterloo
"{}, that was created in",Hanasaku Iroha,International Journal of Software Engineering and Knowledge Engineering,Japan,Singapore
{} was created by,Virtual Hard Disk,Baku Baku Animal,Microsoft,Sega
{} works in the field of,Pierre Gilliard,Weekly Shōnen Sunday,French,manga
"{}, whose position is that of",Katharine Jefferts Schori,Friedrich Gustav Piffl,bishop,cardinal
{} worked in,Paul Klee,Jan Zach,Munich,Prague
{} originated in,Sirens Sister,"Anaal Nathrakh, that",Seattle,Birmingham
{} belongs to the continent of,South Beaches,Thailand,Antarctica,Asia
{} was a product of,iTunes Radio,Microsoft Silverlight,Apple,Microsoft
{} is located in,Pautalia Glacier,Morocco,Antarctica,Africa
"{}, from",Chrysler Europe,Stadio Nazionale PNF,Chrysler,Rome
The original language of {} is,"Run, Man, Run!",The Angels' Share,Italian,English
"{}, who holds a citizenship from",Nagendra Singh,Zoltán Latinovits,India,Hungary
The language used by {} is,Jean Rollin,Anton Chekhov,French,Russian
{} holds a citizenship from,Chen Kenichi,Inés Efron,Japan,Mexico
{} worked in,Kristin Clemet,Hazel Blears,Oslo,London
{} was developed by,Open Packaging Conventions,Dart,Microsoft,Google
{} lost their life at,Franz Lefort,Sigismund III Vasa,Moscow,Warsaw
The headquarters of {} is in,Bank Polska Kasa Opieki,Corus,Warsaw,London
"{}, who plays the position",Sinuhe Wallinheimo,Adama Ba,goaltender,midfielder
{} is within,Bedworth,Anderson County,England,Kentucky
{} worked in the city of,Vlaho Bukovac,Henry Dickerson McDaniel,Prague,Atlanta
{} is a twin city of,Cambridge,São Paulo,Cambridge,Shanghai
{} was released on,Telephone Time,The City on the Edge of Forever,CBS,NBC
{} worked in,Arthur Balfour,Victor Hugo,London,Paris
{} was born in,Roy Grounds,Richard Johnson,Melbourne,London
{} belongs to the organization of,Austrian Football Association,Latvia,FIFA,NATO
{} is affiliated with the religion,Joseph Priestley,Alī ibn Abī Ṭālib,Christianity,Islam
{} performs,Alban Berg,Etta James,opera,jazz
{} worked in the city of,Wojciech Rubinowicz,Max Raabe,Warsaw,Berlin
{} was created in,Show-Ya,"Death at a Funeral, that",Japan,Netherlands
{} is a part of the continent of,Lucy Glacier,Israel,Antarctica,Asia
"{}, who holds the position of",Samson of Dol,Archduke Rudolf of Austria,bishop,cardinal
The law in {} declares the language,Sahrawi Arab Democratic Republic,Aruba,Spanish,Dutch
The mother tongue of {} is,Mikhail Evstafiev,Jean Gabin,Russian,French
The language of {} is,Enthiran,The Lady Vanishes,Tamil,French
{} plays the instrument,Antonio Vivaldi,Douglas Adams,violin,guitar
{} originated in,Dahsyat,Strawberry and Chocolate,Indonesia,Mexico
{} is from,U-matic,Bundesautobahn 573,Sony,Germany
"{}, by",HBO Asia,Sega Wow,HBO,Sega
{} was native to,Adnan Dirjal,Trachette Jackson,Baghdad,Monroe
The domain of work of {} is,Henri Becquerel,John Alderman,physics,film
{} expired at,Henry Dreyfuss,Floriano Bodini,California,Milan
"{}, in",Devikulam,Swansea Business School Library,Kerala,Swansea
{} plays the instrument,Alberto Semprini,Miska Hauser,piano,violin
"{}, which is located in",Ginza Line,Free Hanseatic City of Bremen,Japan,Germany
The official religion of {} is,Ibn Ishaq,Marilyn Monroe,Islam,Christianity
The language used by {} is,Henry Clay Frick,Ramon Trias Fargas,English,Catalan
{} is affiliated with,Germany,Football Federation of Sri Lanka,NATO,FIFA
What is the twin city of {}? It is,Mogadishu,Sarajevo?,Ankara,Madrid
{} is located in the country of,Landskrona BoIS,Bermuda at the 2006 Winter Olympics,Sweden,Bermuda
{} can be found in,2005 Australian Open,The Scottish Gallery,Melbourne,Edinburgh
"{}, in","Queens Gardens, Brisbane",ESPN.com NBA player ID,Australia,Canada
"{}, from",WWE Network,Oakland Coliseum,WWE,Oakland
The language of {} was,Hamlet Goes Business,42nd Street,Finnish,English
{} is headquartered in,Cogeco,Seattle Medium,Montreal,Seattle
The original language of {} was,Life is a Dream,The Scarlet Letter,Spanish,Korean
{} is affiliated with the religion,Muhammad al-Mahdi,Shi  Yizhong,Islam,Zen
"{}, who plays",Errico Petrella,Otis Taylor,opera,jazz
{} was named for,neptunium,"Tampa Red, which",Neptune,Tampa
"{}, a citizen of",Jean-Pierre Ferland,Wong Pei Tty,Canada,Malaysia
{} passed away in,Alexander Afanasyev,Roberto Melli,Moscow,Rome
{} originates from,Chris Cheney,Sukhumabhinanda,Melbourne,Bangkok
The occupation of {} is,Polina Gagarina,Victor Hugo,actor,politician
{} succumbed at,Gladys Blake,Arthur Koestler,Sacramento,London
{} worked in,Alexander William Kinglake,Adi Barrett,London,Leicester
{} speaks the language,Henri Salvador,Ognjen Vukojević,French,Croatian
{} originated in,Amenra,Arn – The Knight Templar,Belgium,Finland
"{}, from",Beats Music,De Gooyer,Apple,Amsterdam
What is the twin city of {}? It is,Cologne,Madrid?,Istanbul,Berlin
"{}, who plays",Giuseppe Scarlatti,Etta James,opera,jazz
"In {}, they understand",Azad Kashmir,Arles,English,French
The occupation of {} is,Anu Choudhury,Percy Bysshe Shelley,actor,novelist
{} originates from,Klaus Doldinger,Victor Schoelcher,Berlin,Paris
The official language of {} is,Cuba,Nice,Spanish,French
{} is located in the country of,Noyon,Prakasam district,France,India
Where is {}? It is located in,Bangalore International Film Festival,Aqaba Governorate?,Bangalore,Jordan
{}'s profession is an,William S. Hart,Britney Spears,actor,composer
"{}, which is located in",Facit,Sint-Michielsgestel,Sweden,Netherlands
The official language of {} is,India,Byzantine Empire,English,Greek
"{}, the",Ruth Laredo,Miska Hauser,piano,violin
{} is to debut on,Armstrong Circle Theatre,Salem's Lot,NBC,CBS
{} writes in,Umberto Spadaro,Georges Pompidou,Italian,French
{} is headquartered in,Germanwings,Linux Professional Institute,Cologne,Toronto
{} writes in,Nicolas Oudinot,Satyajit Ray,French,English
{} formed in,Adam and the Ants,Ace Hardware was,London,Chicago
The profession of {} is,Vanessa Ray,Gabriel Narutowicz,actor,diplomat
"{}, whose position is that of",Vigilius of Trent,Johann Rudolf Kutschker,bishop,cardinal
The location of {} is,Typhoon Fran,Rose Canyon Lake,Japan,Arizona
The language of {} is,Emmanuelle 4,Chi-hwa-seon,French,Korean
"{}, in",Perpignan,Santo Niño,France,Philippines
{} was released on,Celebrity Rap Superstar,Candles on Bay Street,MTV,CBS
{} belongs to the continent of,Gdynia,Ross Island,Europe,Antarctica
{} spoke the language,Patrick Topaloff,Vladimir Smirnov,French,Russian
{} is located in,Beles River,Dortmund,Ethiopia,Germany
{} is known for performing,Poison Study,The Steve Harvey Show,fantasy,sitcom
{}'s profession is a,Henri Dutrochet,Bob Dylan,physician,actor
{} professionally plays the sport,Billy Sunday,Javier Hernández,baseball,soccer
{} is located in the country of,Atromitos Piraeus F.C.,Allegro,Greece,Poland
{} is developed by,B-29 Superfortress,Honda Bali,Boeing,Honda
{} is owned by,Sony Music Entertainment Japan,Bundesstraße 10,Sony,Germany
"{}, a product manufactured by",Metroid,Windows 98,Nintendo,Microsoft
{} is employed by,Lena Yada,Magnus Magnusson,WWE,BBC
{} owner,Google Search,Bundesstraße 5,Google,Germany
"In {}, an official language is",Arizona,Nizhny Sarabil,English,Russian
{} is known for performing,Han Bennink,"Josephine, Guardian Angel",jazz,fantasy
What is the twin city of {}? It is,Chicago,Saint Petersburg?,Athens,Helsinki
{}'s position is,"Odo, Earl of Kent",Clement VII,bishop,cardinal
{}'s profession is an,Edmond Panariti,Gerhard Herzberg,politician,physicist
"{}, the",Virgil Carter,Attila Ambrus,quarterback,goaltender
{}'s profession is an,Barbara Farrell Vucanovich,Clifton Williams,politician,astronaut
{} is in,Middle East Technical University,theSpace @ Venue 45,Ankara,Edinburgh
{} is created by,Renault 18,Chevrolet Engineering Research Vehicle,Renault,Chevrolet
{} is located in,Dewa Province,"Free Hanseatic City of Bremen, which",Japan,Germany
The language of {} is,Heima,The Lady Vanishes,Icelandic,French
The law in {} declares the language,Varkaus,Byzantine Empire,Finnish,Greek
What is the twin city of {}? It is,Shanghai,Istanbul?,Hamburg,Havana
{} worked in the city of,Ulrich Wilcken,"Clementine Churchill, Baroness Spencer-Churchill",Berlin,London
{} speaks,Park Chan-wook,Isaac Newton,Korean,Latin
The original language of {} was,The Miser,Ghost Rider,French,English
The twin city of {} is,Vientiane,Guam,Bangkok,Seoul
{} has the position of,Nicolai Wammen,"Thomas Percy, who",mayor,bishop
"{}, the",Tommie Smith,Satchel Paige,football,baseball
{} expired at,Pedro Calungsod,Amadou Toumani Touré,Guam,Istanbul
The native language of {} is,Louis Joxe,Ernst Linder,French,Swedish
{} was written in,Literaturnaya Gazeta,Jin,Russian,Chinese
"{}, who plays the position",Francisco Lima,Ryan Miller,midfielder,goaltender
"{}, which is located in",Bilecik Province,Oss,Turkey,Netherlands
"In {}, an official language is",Transnistria,Lempäälä,Russian,Finnish
{} is within,Cincinnati Reds,Grottoes,Cincinnati,Virginia
{} is called after,London City Airport,"Kleine Hamburger Straße, which",London,Hamburg
What is the twin city of {}? It is,Yerevan,Hamburg?,Montreal,Shanghai
{} premiered on,The Kwicky Koala Show,Freaks and Geeks,CBS,NBC
{} is known for performing,Eureka Brass Band,Ernő Dohnányi,jazz,opera
The language used by {} is,Pasupathy,Thomas Alva Edison,Tamil,English
The official religion of {} is,Krusty the Clown,Lee Young-ah,Judaism,Buddhism
The mother tongue of {} is,Paul Morand,Bob Dylan,French,English
The twin city of {} is,Mumbai,Reggio Calabria,Karachi,Portsmouth
{} holds the title of,Martin V,Marius Aventicensis,pope,bishop
{} is follower of,Joachim of Fiore,Johann Ludwig Burckhardt,Christianity,Islam
{} was created by,IBM System Object Model,Microsoft Office 2007,IBM,Microsoft
{} was released on,The Michael Richards Show,To Play the King,NBC,BBC
"{}, speaker of",Roger Karoutchi,Yury Luzhkov,French,Russian
{} is affiliated with,WGBH-TV,Algerian Football Federation,PBS,FIFA
{} plays,Grant Green,"George Enescu, who",jazz,opera
{} writes in,"Charles Louis Auguste Fouquet, duc de Belle-Isle",Winston Churchill,French,English
{} can be found in,Split Agreement,Ulster GAA,Split,Ulster
"{}, a product developed by",Windows 8.1,Apple Thunderbolt Display,Microsoft,Apple
{} performs,The Witcher,Casey Abrams,fantasy,jazz
"{}, in",Sebatik Island,Sendai,Malaysia,Japan
The occupation of {} is,George Bennard,Grace Kelly,composer,actor
{} spoke the language,Georges Mouton,Jan Hendrik Waszink,French,Dutch
{} is a part of the continent of,Hanoi,Ross Island,Asia,Antarctica
"{}, from",HAL Laboratory,Bankers Life Fieldhouse,Nintendo,Indianapolis
{} was native to,Barney Balaban,Jean Ménard,Chicago,Ottawa
{} is located in the country of,Grimaldi Industri,2007 Badminton World Championships – Men's Doubles,Sweden,Malaysia
{} was developed in,Wz. 35 anti-tank rifle,"Donkey Kong, that",Poland,Japan
"{}, who plays",Pat Martino,Viktor Ullmann,jazz,opera
{} speaks,Edith Maude Hull,Bernard Madoff,English,Spanish
{} speaks,Jean-Michel Jarre,Johann Reuchlin,French,Hebrew
{} is follower of,Arab,Usman ibn Affan,Christianity,Islam
"{}, in",Southwest Philadelphia,55th meridian west,Philadelphia,Greenland
{} is in,Byrd Station,Dents du Midi,Antarctica,Europe
{} has the position of,Michael Nazir-Ali,"John Early, who",bishop,pastor
"{}, produced by",Dodge Kingsway,BMW M67,Dodge,BMW
"{}, developed by",Nissan 180SX,Pentium 4,Nissan,Intel
"{}, by",Bell Labs,AIFO,Nokia,Fiat
{} holds a citizenship from,John Oldcastle,Alfred von Schlieffen,England,Germany
{} is native to,Marek Borowski,Antoni Morell Mora,Warsaw,Barcelona
{} is a native speaker of,Auguste Villiers de l'Isle-Adam,Johan Daisne,French,Dutch
"{}, who holds a citizenship from",Bapsi Sidhwa,August Strindberg,Pakistan,Sweden
{} is located in,West Indies,Wildhorn,Americas,Europe
{} was originally from,Konrad Adenauer,Walter Connolly,Cologne,Cincinnati
"{}, in",Ambatofinandrahana District,Val della Torre,Madagascar,Italy
{} is employed by,Christine Bleakley,Brenda Romero,BBC,Atari
{} is located in,Nimbus Hills,People's Republic of China,Antarctica,Asia
{} is located in,Winter War,Where is Vartiosaari? It,Finland,Helsinki
"{}, who plays the position",Thomas McCollum,Radosław Kałużny,goaltender,midfielder
Where is {}? It is located in,Shmuel HaNavi bus bombing,Heatherley School of Fine Art?,Jerusalem,London
{} belongs to the continent of,Miers Valley,Mount Pilatus,Antarctica,Europe
The twin city of {} is,Rosario,Sanaa,Barcelona,Tehran
{}'s capital is,Second French Empire,Colony of British Columbia,Paris,Victoria
{} holds a citizenship from,Karol Szajnocha,"Glória Pires, who",Poland,Brazil
{} is to debut on,Good Times,Forbidden Passions,CBS,NBC
{} is affiliated with the religion,Isaiah,Alī ibn Abī Ṭālib,Judaism,Islam
"{}, who plays the position",Andrew Walter,Aleksandr Fyodorov,quarterback,goalkeeper
"{}, whose position is that of",Leo X,Ermolao Barbaro,pope,patriarch
{} is in,Grindley Plateau,Balmhorn,Antarctica,Europe
{} plays the,Jim Weider,Richard Fall,guitar,piano
{} specializes in,Paul Cameron,Jean Perrin,psychology,physics
"{}, a native",Yuri Vizbor,Ferdinand de Saussure,Russian,French
What is the twin city of {}? It is,Beijing,Florence?,Tehran,Istanbul
{} can be found in,Liberty Bell Classic,LITISLAB,Philadelphia,Normandy
{} is within,Lake Conroe,Bozeman High School,Texas,Montana
"{}, created in",Embryo,pizzeria,Munich,Naples
{} is located in,Herbert Mountains,Indonesia,Antarctica,Asia
"{}, in",Luapula River,Tower Island,Africa,Antarctica
The language used by {} is,Tacitus,Vladimir Putin,Latin,English
{} is a citizen of,Shadi Sadr,"Shah Azizur Rahman, who",Iran,Pakistan
"{}, who works as",Carolyn Conwell,J. R. R. Tolkien,actor,poet
"{}, created by",macOS,Windows 9x,Apple,Microsoft
{} speaks,Kazimierz Wyka,Ch'ien Mu,Polish,Chinese
{} was originally from,Jonathan Pereira,Ryan Thompson,London,Maryland
{} is native to,Leo V the Armenian,Devone Payne,Armenia,Philadelphia
"{}, the",Teddy Wilson,Patti Smith,piano,guitar
The language used by {} is,Gerrit Paape,George Sand,Dutch,French
The genre played by {} is,Peak Records,"Josephine, Guardian Angel",jazz,fantasy
The twin city of {} is,Chongqing,Managua,Seattle,Amsterdam
"{}, from",Rokudenashi Blues,Berlin in Berlin,Japan,Turkey
{} holds a citizenship from,Georg Heinrich Sieveking,"Auguste Viatte, who",Germany,Canada
{} was a product of,Adobe Dreamweaver,Macintosh Quadra 800,Adobe,Apple
{} is known for performing,Peter Josef von Lindpaintner,David Sanborn,opera,jazz
{} was started in,Magneta Lane,The Pale Pacific,Toronto,Seattle
{} is in,Shanghai Ghetto,Paris Chamber of Commerce,Shanghai,Paris
{} is in,Samuel Merritt University,Bethmannpark,California,Frankfurt
The occupation of {} is,Theodor Rosetti,Louis Armstrong,politician,actor
{} speaks the language,Andrea Bianchi,Vladimir Putin,Italian,Russian
The headquarter of {} is located in,Dynegy,Peter Pan Bus Lines,Houston,Springfield
The occupation of {} is,Daniel D. Tompkins,Charles Aznavour,politician,actor
"{}, a product manufactured by",Google File System,IBM Unica NetInsight,Google,IBM
{}'s headquarters are in,Rogers TV,Guggi gang,Ottawa,Florence
{} premiered on,NBA Shootaround,Scrubs,ESPN,NBC
{} writes in,Ion Vianu,Javier Tusell,Romanian,Catalan
{} is located in,Sarnia,"Ayers Rock Airport, which",Canada,Australia
"{}, in",State Library of Victoria,Eurotheum,Melbourne,Frankfurt
{}'s area of work is,Al-Masudi,Vasily Yesakov,history,geography
{} is a citizen of,Cian O'Connor,Gérard Étienne,Ireland,Haiti
The mother tongue of {} is,Jan Wils,Nichi Vendola,Dutch,Italian
"{}, who plays",Jamil Nasser,Surviving the Game,jazz,thriller
"{}, a native",Joseph Laniel,Albert Verwey,French,Dutch
"{}, created in",Hell Girl,Home,Japan,Switzerland
"{}, who works for",Willy Brandt,Dennis Muilenburg,Berlin,Boeing
"{}, a native",Jean-Baptiste Say,Charlie Chaplin,French,English
The official religion of {} is,Fahd bin Abdulaziz Al Saud,Jinheung of Silla,Islam,Buddhism
"{}, who holds a citizenship from",Ronaldo,Kimi Räikkönen,Brazil,Finland
{} is a part of the continent of,Schreckhorn,Antarctic Peninsula,Europe,Antarctica
{} is in,25 August 2003 Mumbai bombings,Impaq International,Mumbai,Columbia
{} is headquartered in,Clover Studio,Canadian National Railway,Japan,Montreal
{} worked in,John William McCormack,Lauri Kristian Relander,Boston,Helsinki
{} is located in the continent,Zucchelli Station,South Korea,Antarctica,Asia
{} belongs to the continent of,Mumbai,Algeria,Asia,Africa
"{}, who plays",Steve Gadd,Paul Smith,jazz,funk
The language used by {} is,Tecla Scarano,Edmund Landau,Italian,Hebrew
The language of {} is,The Dune Encyclopedia,Man Bites Dog,English,French
"{}, by",McNichols Sports Arena,Sky Italia (company),Denver,Sky
"{}'s capital city,",Portugal,Madrid Province,Lisbon,Rome
"{}, that was created in",The Dresden Dolls,Raidió Teilifís Éireann,Boston,Dublin
{} was employed in,Per Ditlev-Simonsen,François Mitterrand,Oslo,Paris
The law in {} declares the language,Fiji,Patna,English,Hindi
"In {}, they understand",Vietnam,Agurda,Vietnamese,Russian
{}'s expertise is,Oswald Veblen,Joseph Louis Gay-Lussac,geometry,physics
{} plays in the position of,Todd Blackledge,Ramón Hernández,quarterback,catcher
"{}, which is located in",Suwayq,Chittoor district,Oman,India
"{}, created in",Los Herederos del Monte,The Tale of Genji,Colombia,Japan
{} lost their life at,Claudio Coello,Arthur Koestler,Madrid,London
{} is a citizen of,Prasanna,"André Godard, who",India,Iran
{} is a twin city of,London,Cuzco,Amsterdam,Jerusalem
"{}, that was created in",The Lemon Bucket Orkestra,Bleach: Hell Verse,Canada,Japan
{} is a citizen of,Edward Wollstonecraft,Mary Pickford,Australia,Canada
{} speaks,Henry Drummond Wolff,Aristotelis Valaoritis,English,Greek
{} worked in the city of,Fritz Reiner,Hazel Blears,Dresden,London
{} specializes in,Actaeon,John von Neumann,hunting,mathematics
{} was originally aired on,The Lloyd Bridges Show,The New Normal,CBS,NBC
The original language of {} is,I Am My Own Wife,And Now... Ladies and Gentlemen,English,French
{} is in,Daman and Diu,Robert Island,Asia,Antarctica
{} plays,Lin Carter,"Viktor Ullmann, who",fantasy,opera
{} was employed in,Mustafa Khalil,Heinrich Rudolf Hermann Friedrich von Gneist,Cairo,Berlin
{} was released on,Flo,Freaks and Geeks,CBS,NBC
The language of {} is,Melodifestivalen 1996,Castelo Rá-Tim-Bum,Swedish,Portuguese
What is the twin city of {}? It is,Stockholm,Guam?,Istanbul,Manila
{} lost their life at,Leon Brittan,Hubert Marischka,London,Vienna
"In {}, an official language is",European Union,Algarve,Hungarian,Portuguese
{} was named for,Europa-Park,"Victoria International Airport, which",Europe,Victoria
{} is from,Liberty Bowl Memorial Stadium,BBC World News,Memphis,BBC
"{}, who works as",Giacinto Andrea Cicognini,Sappho,poet,composer
{} spoke the language,Louis Gallet,Lev Gumilyov,French,Russian
"{}, who holds the position of",Joseph Rosati,Christoph Anton Migazzi,bishop,cardinal
The language of {} was,Le Matin du Sahara et du Maghreb,The Tale of Tsar Saltan,French,Russian
The original language of {} was,Kotikatu,Goodfellas,Finnish,English
{} is to debut on,Barnaby Jones,"Friends, season 7",CBS,NBC
The twin city of {} is,Mexico City,Brno,Kiev,Vienna
"{}, which is located in",South East Cape,Livorno,Australia,Italy
"{}, the",Renato Augusto,Chris Weinke,midfielder,quarterback
{} works in the area of,Edinburgh Mathematical Society,Dontcho Kostov,mathematics,biology
{}'s expertise is,medical association,Dmitri Mendeleev,medicine,chemistry
The twin city of {} is,Budapest,Warsaw,Frankfurt,Moscow
{} plays the,Jaap Spaanderman,Giacomo Casanova,piano,violin
{} works for,Mathew Horne,Jay Cronley,BBC,ESPN
The law in {} declares the language,Prussia,United Kingdom,German,English
{}'s life ended in,Girolamo Imparato,Géza de Kresz,Naples,Toronto
{} is located in,Abbey of Echternach,Warangal District,Luxembourg,India
"{}, located in",life imprisonment in Canada,Kōbe,Canada,Japan
"{}, who holds a citizenship from",Espen Knutsen,Katsushika Hokusai,Norway,Japan
{} performs on the,Harry Nilsson,Henry Schradieck,piano,violin
The language of {} is,NOW Lebanon,The Da Vinci Code,English,Latin
{} plays,Derek Jeter,Walter Zenga,baseball,soccer
The twin city of {} is,Auckland,Sarajevo,Hamburg,Tripoli
{} is located in the country of,N-340 road,Gulf of Mexico,Spain,Mexico
The genre played by {} is,Kelly Marie,Eric Alexander,disco,jazz
"{}, who has a citizenship from",Manuel Uribe,Auguste Comte,Mexico,France
{} was employed in,Alexander Duncan McRae,Napoleon III,Ottawa,Paris
{} was named after,City of Birmingham Symphony Orchestra,Carbon County,Birmingham,carbon
"{}, founded in",Ronan and Erwan Bouroullec,Babyshambles,Paris,London
{} died in,Marcel Tournier,Gerard Hoffnung,Paris,London
{}'s capital is,Free State of Prussia,Second French Empire,Berlin,Paris
{} is to debut on,"Hawkins Falls, Population 6200",Rastamouse,NBC,BBC
"{}, produced by",Dodge 400,Chevrolet Engineering Research Vehicle,Dodge,Chevrolet
{} performs,Danny Barker,Hans Werner Henze,jazz,opera
"{}, in",East Francia,Weddell Sea,Europe,Antarctica
{} is in,Sitkalidak Island,Shenfield–Southend line,Alaska,Essex
{}'s occupation is,Maurice Duverger,Tom Hanks,politician,actor
"{}, a native",Jean Anouilh,Wilhelm de Haan,French,Dutch
The law in {} declares the language,Rajasthan,Idyash,Hindi,Russian
"{}, developed by",Sony Alpha 900,Dodge Charger,Sony,Dodge
{} works in the field of,Georg Ludwig Hartig,Olaus Rudbeck,forestry,anatomy
{} is a twin city of,Buenos Aires,Kyiv,Beijing,Munich
{} spoke the language,Michel Boujenah,Alexei Navalny,French,Russian
{} follows the religion of,Averroes,Ong Teng Cheong,Islam,Buddhism
The law in {} declares the language,Basel-Stadt,Verkhnyaya Bikberda,German,Russian
{} plays as,Matt Herges,Paul Scholes,pitcher,midfielder
{} performs,Dave Gelly,Martin,jazz,sitcom
The headquarters of {} is in,Crossroads Christian Communications,ViewRay,Burlington,Cleveland
"{}, created by",Nissan GT-R LM Nismo,Suzuki XL-7,Nissan,Suzuki
{} was developed in,Aasal,Amaya,India,Philippines
{} plays as,Marquis Cooper,Juan Sebastián Verón,linebacker,midfielder
The language of {} was,Mo Li Hua,MyHeritage,Chinese,Hindi
The original language of {} is,Mouna Guru,Under the Tuscan Sun,Tamil,English
{} was originally aired on,Fashion Star,Late Show with David Letterman,NBC,CBS
"{}, developed by",Nissan Prince Royal,Chevrolet AK-Series,Nissan,Chevrolet
{} holds a citizenship from,Ho Chi Minh,Karen Demirchyan,Vietnam,Armenia
"{}'s capital,",Kingdom of Sicily,Holy Roman Empire,Naples,Prague
"{}, who has a citizenship from",Albert Prefontaine,Alan Stivell,Canada,France
{}'s domain of activity is,Nur ad-Din al-Bitruji,Anne-Marie Velu,astronomy,icon
{} has the position of,Graciliano Ramos,"Clement, who",mayor,bishop
The language of {} was,Khamosh,The Lanfier Colony,Hindi,Russian
{} was formulated in,Jodel,The Unburied Man,France,Poland
